first_name ,last_name,date_of_birth,postal_address,national_id,gender,
James,Maina,1970-01-01,Nairobi,123456,M,
Test,User One,1970-01-02,Nairobi,123457,M,
Test,User Two,1970-01-03,Nairobi,123458,M,
Test,User Three,1970-01-04,Nairobi,123459,M,
Test,User Four,1970-01-05,Nairobi,123450,F,
Test,User Five,1970-01-06,Nairobi,123451,F,
Test,User Six,1970-01-07,Nairobi,123452,F,
Test,User Seven,1970-01-08,Nairobi,123453,F,
Test,User Eight,1970-01-09,Nairobi,123454,F,
Test,User Nine,1970-01-10,Nairobi,123455,F,
Test,User Ten,1970-01-11,Nairobi,1234510,M,
Test,User Eleven,1970-01-12,Nairobi,1234511,M,
Test,User Twelve,1970-01-13,Nairobi,1234512,M,
Test,User Thirteen,1970-01-14,Nairobi,1234513,M,
Test,User Fourteen,1970-01-15,Nairobi,1234514,F,
